"locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","footprintWKT","scientificNameID","scientificName","kingdom","phylum","class","order_","family","genus","scientificNameAuthorship","FID"
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",165311,"Dactylospongia sp.","Animalia","Porifera","Demospongiae","Dictyoceratida","Thorectidae","Dactylospongia","Bergquist, 1965",26
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",213851,"Portieria hornemannii","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Rhizophyllidaceae","Portieria","(Lyngbye) P.C.Silva, 1987",27
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",145884,"Valonia utricularis","Plantae","Chlorophyta","Ulvophyceae","Siphonocladales","Valoniaceae","Valonia","(Roth) C.Agardh, 1823",28
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",214277,"Tolypiocladia glomerulata","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Tolypiocladia","(C.Agardh) F.Schmitz, 1897",29
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",169698,"Pseudoceratina sp.","Animalia","Porifera","Demospongiae","Verongida","Pseudoceratinidae","Pseudoceratina","Carter, 1885",30
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",165409,"Thorecta sp.","Animalia","Porifera","Demospongiae","Dictyoceratida","Thorectidae","Thorecta","Lendenfeld, 1888",31
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",165605,"Ptilocaulis sp.","Animalia","Porifera","Demospongiae","Halichondrida","Axinellidae","Ptilocaulis","Carter, 1883",32
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",166234,"Callyspongia (Euplacella) sp.","Animalia","Porifera","Demospongiae","Haplosclerida","Callyspongiidae","Callyspongia","Lendenfeld, 1887",33
"Vanua Levu Lagoon, intermediate reef flat",-16.13635,179.6604,"WGS84",30,"POINT (179.6604 -16.13635)",220816,"Hypnea pannosa","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Cystocloniaceae","Hypnea","J.Agardh, 1847",34
"Vanua Levu Lagoon, intermediate reef flat",-16.13635,179.6604,"WGS84",30,"POINT (179.6604 -16.13635)",374716,"Syringodium isoetifolium","Plantae","Tracheophyta",,"Alismatales","Cymodoceaceae","Syringodium","(Ascherson) Dandy, 1939",35
"Vanua Levu Lagoon, intermediate reef flat",-16.13635,179.6604,"WGS84",30,"POINT (179.6604 -16.13635)",375712,"Halimeda borneensis","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Halimedaceae","Halimeda","W.R.Taylor, 1975",36
"Vanua Levu Lagoon, intermediate reef flat",-16.13635,179.6604,"WGS84",30,"POINT (179.6604 -16.13635)",144474,"Caulerpa sertularioides","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","(S.G.Gmelin) M.A.Howe, 1905",37
"Vanua Levu Lagoon, intermediate reef flat",-16.13635,179.6604,"WGS84",30,"POINT (179.6604 -16.13635)",145631,"Hypnea esperi","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Cystocloniaceae","Hypnea","Bory de Saint-Vincent, 1828",38
"Vanua Levu Ravi Ravi channel eastern edge of pass near outlet",-16.323117,178.929983,"WGS84",30,"POINT (178.929983 -16.323117)",103483,"Ascidia","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidia","Linnaeus, 1767",39
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",165782,"Epipolasis sp.","Animalia","Porifera","Demospongiae","Halichondrida","Halichondriidae","Epipolasis","de Laubenfels, 1936",40
"Vanua Levu Ravi Ravi channel eastern edge of pass near outlet",-16.323117,178.929983,"WGS84",30,"POINT (178.929983 -16.323117)",131767,"Hyrtios sp.","Animalia","Porifera","Demospongiae","Dictyoceratida","Thorectidae","Hyrtios","Duchassaing & Michelotti, 1864",41
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",143823,"Rhipilia sp. 2","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Rhipiliaceae","Rhipilia","Kützing, 1858",42
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",613660,"Rhipilia penicilloides","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Rhipiliaceae","Rhipilia","A.D.R.N'Yeurt & D.W.Keats, 1997",43
"Vanua Levu Ravi Ravi channel eastern edge of pass near outlet",-16.323117,178.929983,"WGS84",30,"POINT (178.929983 -16.323117)",131707,"Pericharax sp.","Animalia","Porifera","Calcarea","Clathrinida","Leucettidae","Pericharax","Poléjaeff, 1883",44
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",165409,"Thorecta sp.","Animalia","Porifera","Demospongiae","Dictyoceratida","Thorectidae","Thorecta","Lendenfeld, 1888",45
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",214431,"Gibsmithia hawaiiensis","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Dumontiaceae","Gibsmithia","Doty, 1963",46
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",165314,"Fascaplysinopsis sp.","Animalia","Porifera","Demospongiae","Dictyoceratida","Thorectidae","Fascaplysinopsis","Bergquist, 1980",47
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",211681,"Valonia fastigiata","Plantae","Chlorophyta","Ulvophyceae","Siphonocladales","Valoniaceae","Valonia","Harvey ex J.Agardh, 1887",48
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",214429,"Haloplegma duperreyi","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Wrangeliaceae","Haloplegma","Montagne, 1842",49
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",103483,"Ascidia","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidia","Linnaeus, 1767",50
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",165313,"Dactylospongia metachromia","Animalia","Porifera","Demospongiae","Dictyoceratida","Thorectidae","Dactylospongia","(de Laubenfels, 1954)",51
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",144476,"Caulerpa taxifolia","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","(M.Vahl) C.Agardh, 1817",52
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",165311,"Dactylospongia sp.","Animalia","Porifera","Demospongiae","Dictyoceratida","Thorectidae","Dactylospongia","Bergquist, 1965",53
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",211735,"Codium geppiorum","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Codiaceae","Codium","O.C.Schmidt, 1923",54
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",165287,"Phyllospongia papyracea","Animalia","Porifera","Demospongiae","Dictyoceratida","Thorectidae","Phyllospongia","(Esper, 1794)",55
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",165705,"Stylissa carteri","Animalia","Porifera","Demospongiae","Halichondrida","Dictyonellidae","Stylissa","(Dendy, 1889)",56
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",165314,"Fascaplysinopsis sp.","Animalia","Porifera","Demospongiae","Dictyoceratida","Thorectidae","Fascaplysinopsis","Bergquist, 1980",57
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",131707,"Pericharax sp.","Animalia","Porifera","Calcarea","Clathrinida","Leucettidae","Pericharax","Poléjaeff, 1883",58
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",145885,"Ventricaria ventricosa","Plantae","Chlorophyta","Ulvophyceae","Siphonocladales","Valoniaceae","Ventricaria","(J.Agardh) J.L.Olsen & J.A.West, 1988",59
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",131738,"Aplysilla sp.","Animalia","Porifera","Demospongiae","Dendroceratida","Darwinellidae","Aplysilla","Schulze, 1878",60
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",144472,"Caulerpa racemosa","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","(Forsskål) J.Agardh, 1873",61
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",211746,"Chlorodesmis fastigiata","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Udoteaceae","Chlorodesmis","(C.Agardh) S.C.Ducker, 1969",62
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",168320,"Neofibularia hartmani","Animalia","Porifera","Demospongiae","Poecilosclerida","Desmacellidae","Neofibularia","Hooper & Lévi, 1993",63
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",374219,"Udotea geppiorum","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Udoteaceae","Udotea","Yamada, 1930",64
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",131759,"Spongia sp.","Animalia","Porifera","Demospongiae","Dictyoceratida","Spongiidae","Spongia","Linnaeus, 1759",65
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",131751,"Ircinia sp.","Animalia","Porifera","Demospongiae","Dictyoceratida","Irciniidae","Ircinia","Nardo, 1833",66
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",371241,"Halymenia porphyraeformis","Plantae","Rhodophyta","Florideophyceae","Halymeniales","Halymeniaceae","Halymenia","Parkinson, 1980",67
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",214397,"Dictyosphaeria versluysii","Plantae","Chlorophyta","Ulvophyceae","Siphonocladales","Siphonocladaceae","Dictyosphaeria","Weber-van Bosse, 1905",68
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",145885,"Ventricaria ventricosa","Plantae","Chlorophyta","Ulvophyceae","Siphonocladales","Valoniaceae","Ventricaria","(J.Agardh) J.L.Olsen & J.A.West, 1988",69
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",131761,"Aplysinopsis sp.","Animalia","Porifera","Demospongiae","Dictyoceratida","Thorectidae","Aplysinopsis","Lendenfeld, 1888",70
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",166770,"Niphates sp.","Animalia","Porifera","Demospongiae","Haplosclerida","Niphatidae","Niphates","Duchassaing & Michelotti, 1864",71
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",145884,"Valonia utricularis","Plantae","Chlorophyta","Ulvophyceae","Siphonocladales","Valoniaceae","Valonia","(Roth) C.Agardh, 1823",72
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",165313,"Dactylospongia metachromia","Animalia","Porifera","Demospongiae","Dictyoceratida","Thorectidae","Dactylospongia","(de Laubenfels, 1954)",73
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",131761,"Aplysinopsis sp.","Animalia","Porifera","Demospongiae","Dictyoceratida","Thorectidae","Aplysinopsis","Lendenfeld, 1888",74
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",145819,"Gelidiopsis intricata","Plantae","Rhodophyta","Florideophyceae","Rhodymeniales","Lomentariaceae","Gelidiopsis","(C.Agardh) Vickers, 1905",75
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",131849,"Xestospongia sp.","Animalia","Porifera","Demospongiae","Haplosclerida","Petrosiidae","Xestospongia","de Laubenfels, 1932",76
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",211480,"Caulerpa urvilleana","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Montagne, 1845",77
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",131767,"Hyrtios sp.","Animalia","Porifera","Demospongiae","Dictyoceratida","Thorectidae","Hyrtios","Duchassaing & Michelotti, 1864",78
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",145120,"Hydrolithon onkodes","Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Hydrolithon","(Heydrich) D.Penrose & Woelkerling, 1992",79
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",376138,"Rhipilia sinuosa","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Rhipiliaceae","Rhipilia","Gilbert, 1978",80
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",211489,"Caulerpa microphysa","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","(Weber-van Bosse) Feldmann, 1955",81
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",372330,"Dasyphila plumarioides","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Dasyphila","Yendo, 1920",82
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",144487,"Rhipilia tenaculosa","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Rhipiliaceae","Rhipilia","A.Gepp & E.S.Gepp, 1911",83
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",145684,"Wurdemannia miniata","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Solieriaceae","Wurdemannia","(Sprengel) Feldmann & G.Hamel, 1934",84
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",164750,"Leucetta chagosensis","Animalia","Porifera","Calcarea","Clathrinida","Leucettidae","Leucetta","Dendy, 1913",85
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",132326,"Dysidea cf. pallescens","Animalia","Porifera","Demospongiae","Dictyoceratida","Dysideidae","Dysidea","(Schmidt, 1862)",86
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",372319,"Lithophyllum insipidum","Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Lithophyllum","Adey, Townsend & Boykins, 1982",87
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",145819,"Gelidiopsis intricata","Plantae","Rhodophyta","Florideophyceae","Rhodymeniales","Lomentariaceae","Gelidiopsis","(C.Agardh) Vickers, 1905",88
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",211681,"Valonia fastigiata","Plantae","Chlorophyta","Ulvophyceae","Siphonocladales","Valoniaceae","Valonia","Harvey ex J.Agardh, 1887",89
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",211471,"Caulerpa fastigiata","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Montagne, 1837",90
"Vanua Levu Kakaulevu Reef western edge across from Kia Island",-16.2325,179.031667,"WGS84",30,"POINT (179.031667 -16.2325)",211638,"Amphiroa foliacea","Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Amphiroa","J.V.Lamouroux, 1824",91
"Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel'",-16.1835,179.739683,"WGS84",30,"POINT (179.739683 -16.1835)",211478,"Caulerpa sedoides","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","C.Agardh, 1817",92
